Rank,Player,Team,Role,Category,Pool,Grade,Rating,Sub_Scoring,Sub_Impact,Sub_Consistency,Sub_Experience,Matches,Bat_Runs,Bat_SR,Bat_Average,Legacy,URL,Sub_WicketTaking,Sub_Economy,Sub_Efficiency,Bowl_Wickets,Bowl_Eco,Bowl_Avg,Sub_Batting,Sub_Bowling,Sub_Versatility,Nationality
10,Harshal Patel,Sunrisers Hyderabad,Bowler,BOWL,BOWL,A,94,,,,89,119.0,,,,6,https://www.cricbuzz.com/profiles/8175/harshal-patel,99.0,58.0,87.0,151.0,8.86,23.7,,,,Indian
90,Naman Dhir,Mumbai Indians,Batsman,BAT,BAT_WK,C,67,11.0,99.0,70.0,41,23.0,392.0,180.65,28.0,0,https://www.cricbuzz.com/profiles/36139/naman-dhir,,,,,,,,,,Indian
116,Sherfane Rutherford,Mumbai Indians,Batting Allrounder,AR,AR,C,62,,,,41,23.0,397.0,,,0,https://www.cricbuzz.com/profiles/13748/sherfane-rutherford,,,,1.0,,,48.0,17.0,17.0,West Indian
25,Marcus Stoinis,Punjab Kings,Batting Allrounder,AR,AR,B,83,,,,84,109.0,2026.0,,,4,https://www.cricbuzz.com/profiles/8989/marcus-stoinis,,,,44.0,,,90.0,37.0,37.0,Australian
110,Josh Inglis,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,C,63,9.0,87.0,77.0,35,11.0,278.0,162.58,30.89,0,https://www.cricbuzz.com/profiles/10637/josh-inglis,,,,,,,,,,Australian
134,Vipraj Nigam,Delhi Capitals,Bowler,BOWL,BOWL,C,59,,,,37,14.0,,,,0,https://www.cricbuzz.com/profiles/1431811/vipraj-nigam,10.0,54.0,69.0,11.0,9.13,32.36,,,,Indian
129,Anuj Rawat,Gujarat Titans,WK-Batsman,WK,BAT_WK,C,60,10.0,57.0,50.0,42,24.0,318.0,119.11,19.88,0,https://www.cricbuzz.com/profiles/13135/anuj-rawat,,,,,,,,,,Indian
9,KL Rahul,Delhi Capitals,WK-Batsman,WK,BAT_WK,A,95,99.0,69.0,99.0,99,145.0,5222.0,136.03,46.21,4,https://www.cricbuzz.com/profiles/8733/kl-rahul,,,,,,,,,,Indian
140,Mukesh Choudhary,Chennai Super Kings,Bowler,BOWL,BOWL,C,58,,,,38,16.0,,,,0,https://www.cricbuzz.com/profiles/13184/mukesh-choudhary,14.0,40.0,72.0,17.0,9.94,30.71,,,,Indian
66,Philip Salt,Royal Challengers Bengaluru,WK-Batsman,WK,BAT_WK,B,71,23.0,95.0,84.0,47,34.0,1056.0,175.71,34.06,0,https://www.cricbuzz.com/profiles/10479/philip-salt,,,,,,,,,,English
45,Shivam Dube,Chennai Super Kings,Batting Allrounder,AR,AR,B,76,,,,69,79.0,1859.0,,,2,https://www.cricbuzz.com/profiles/11195/shivam-dube,,,,5.0,,,88.0,20.0,20.0,Indian
122,Ashutosh Sharma,Delhi Capitals,Batting Allrounder,AR,AR,C,61,,,,42,24.0,393.0,,,0,https://www.cricbuzz.com/profiles/13497/ashutosh-sharma,,,,0.0,,,56.0,0.0,0.0,Indian
8,MS Dhoni,Chennai Super Kings,WK-Batsman,WK,BAT_WK,A,95,99.0,70.0,95.0,99,278.0,5439.0,137.46,38.3,4,https://www.cricbuzz.com/profiles/265/ms-dhoni,,,,,,,,,,Indian
48,Pat Cummins,Sunrisers Hyderabad,Bowler,BOWL,BOWL,B,75,,,,66,72.0,,,,0,https://www.cricbuzz.com/profiles/8095/pat-cummins,54.0,59.0,74.0,79.0,8.81,30.04,,,,Australian
53,Prasidh Krishna,Gujarat Titans,Bowler,BOWL,BOWL,B,74,,,,63,66.0,,,,0,https://www.cricbuzz.com/profiles/10551/prasidh-krishna,51.0,59.0,75.0,74.0,8.77,29.61,,,,Indian
75,Karun Nair,Delhi Capitals,Batsman,BAT,BAT_WK,B,70,35.0,66.0,60.0,72,84.0,1694.0,131.73,23.86,0,https://www.cricbuzz.com/profiles/8257/karun-nair,,,,,,,,,,Indian
21,Krunal Pandya,Royal Challengers Bengaluru,Batting Allrounder,AR,AR,A,86,,,,99,142.0,1748.0,,,4,https://www.cricbuzz.com/profiles/11311/krunal-pandya,,,,93.0,,,77.0,60.0,60.0,Indian
39,Nicholas Pooran,Lucknow Super Giants,WK-Batsman,WK,BAT_WK,B,78,46.0,91.0,85.0,75,90.0,2293.0,168.98,34.22,0,https://www.cricbuzz.com/profiles/9406/nicholas-pooran,,,,,,,,,,West Indian
2,Yuzvendra Chahal,Punjab Kings,Bowler,BOWL,BOWL,A,99,,,,99,174.0,,,,10,https://www.cricbuzz.com/profiles/7910/yuzvendra-chahal,99.0,73.0,89.0,221.0,7.96,22.77,,,,Indian
27,Shreyas Iyer,Punjab Kings,Batsman,BAT,BAT_WK,B,83,72.0,67.0,85.0,96,132.0,3731.0,133.35,34.23,0,https://www.cricbuzz.com/profiles/9428/shreyas-iyer,,,,,,,,,,Indian
14,Ajinkya Rahane,Kolkata Knight Riders,Batsman,BAT,BAT_WK,A,91,95.0,61.0,76.0,99,198.0,5032.0,125.02,30.5,4,https://www.cricbuzz.com/profiles/1447/ajinkya-rahane,,,,,,,,,,Indian
56,Josh Hazlewood,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,B,73,,,,49,39.0,,,,0,https://www.cricbuzz.com/profiles/6258/josh-hazlewood,40.0,67.0,93.0,57.0,8.28,20.98,,,,Australian
12,Trent Boult,Mumbai Indians,Bowler,BOWL,BOWL,A,92,,,,89,119.0,,,,4,https://www.cricbuzz.com/profiles/8117/trent-boult,96.0,66.0,82.0,143.0,8.38,26.2,,,,New Zealander
148,Vignesh Puthur,Rajasthan Royals,Bowler,BOWL,BOWL,C,57,,,,32,5.0,,,,0,https://www.cricbuzz.com/profiles/1447337/vignesh-puthur,7.0,54.0,99.0,6.0,9.08,18.17,,,,Indian
76,Tristan Stubbs,Delhi Capitals,WK-Batsman,WK,BAT_WK,B,70,17.0,87.0,99.0,46,32.0,705.0,163.2,41.47,0,https://www.cricbuzz.com/profiles/19243/tristan-stubbs,,,,,,,,,,South African
98,Shivam Mavi,Sunrisers Hyderabad,Bowler,BOWL,BOWL,C,66,,,,46,32.0,,,,0,https://www.cricbuzz.com/profiles/12345/shivam-mavi,23.0,60.0,71.0,30.0,8.71,31.4,,,,Indian
70,Venkatesh Iyer,Royal Challengers Bengaluru,Batting Allrounder,AR,AR,B,70,,,,60,61.0,1468.0,,,0,https://www.cricbuzz.com/profiles/10917/venkatesh-iyer,,,,3.0,,,77.0,16.0,16.0,Indian
156,Matthew Short,Chennai Super Kings,Batsman,BAT,BAT_WK,C,55,6.0,63.0,49.0,33,6.0,117.0,127.18,19.5,0,https://www.cricbuzz.com/profiles/9456/matthew-short,,,,,,,,,,Australian
15,Sanju Samson,Chennai Super Kings,WK-Batsman,WK,BAT_WK,A,89,89.0,71.0,76.0,99,176.0,4704.0,139.05,30.75,2,https://www.cricbuzz.com/profiles/8271/sanju-samson,,,,,,,,,,Indian
121,Suyash Sharma,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,C,61,,,,43,27.0,,,,0,https://www.cricbuzz.com/profiles/36487/suyash-sharma,15.0,60.0,41.0,18.0,8.75,45.22,,,,Indian
7,Ravindra Jadeja,Rajasthan Royals,Bowling Allrounder,AR,AR,A,95,,,,99,254.0,3260.0,,,8,https://www.cricbuzz.com/profiles/587/ravindra-jadeja,,,,170.0,,,85.0,78.0,78.0,Indian
104,Lungi Ngidi,Delhi Capitals,Bowler,BOWL,BOWL,C,64,,,,38,16.0,,,,0,https://www.cricbuzz.com/profiles/9603/lungi-ngidi,22.0,63.0,99.0,29.0,8.53,18.24,,,,South African
77,Rinku Singh,Kolkata Knight Riders,Batsman,BAT,BAT_WK,C,69,24.0,75.0,76.0,59,58.0,1099.0,145.18,30.53,0,https://www.cricbuzz.com/profiles/10896/rinku-singh,,,,,,,,,,Indian
24,Varun Chakaravarthy,Kolkata Knight Riders,Bowler,BOWL,BOWL,B,84,,,,71,83.0,,,,2,https://www.cricbuzz.com/profiles/12926/varun-chakaravarthy,68.0,79.0,87.0,100.0,7.58,23.85,,,,Indian
87,Tushar Deshpande,Rajasthan Royals,Bowler,BOWL,BOWL,C,67,,,,53,46.0,,,,0,https://www.cricbuzz.com/profiles/11307/tushar-deshpande,36.0,42.0,72.0,51.0,9.84,31.04,,,,Indian
59,Rahul Tewatia,Gujarat Titans,Batting Allrounder,AR,AR,B,73,,,,84,108.0,1112.0,,,0,https://www.cricbuzz.com/profiles/9693/rahul-tewatia,,,,32.0,,,64.0,38.0,38.0,Indian
81,Harpreet Brar,Punjab Kings,Bowler,BOWL,BOWL,C,68,,,,54,49.0,,,,0,https://www.cricbuzz.com/profiles/14452/harpreet-brar,26.0,71.0,72.0,35.0,8.03,31.0,,,,Indian
1,Virat Kohli,Royal Challengers Bengaluru,Batsman,BAT,BAT_WK,A,99,99.0,67.0,98.0,99,267.0,8661.0,132.86,39.55,10,https://www.cricbuzz.com/profiles/1413/virat-kohli,,,,,,,,,,Indian
49,Ravi Bishnoi,Rajasthan Royals,Bowler,BOWL,BOWL,B,75,,,,68,77.0,,,,0,https://www.cricbuzz.com/profiles/14659/ravi-bishnoi,50.0,68.0,72.0,72.0,8.22,31.07,,,,Indian
151,Dushmantha Chameera,Delhi Capitals,Bowler,BOWL,BOWL,C,56,,,,39,19.0,,,,0,https://www.cricbuzz.com/profiles/8393/dushmantha-chameera,12.0,44.0,39.0,13.0,9.73,46.38,,,,Sri Lankan
5,Bhuvneshwar Kumar,Royal Challengers Bengaluru,Bowler,BOWL,BOWL,A,98,,,,99,190.0,,,,8,https://www.cricbuzz.com/profiles/1726/bhuvneshwar-kumar,99.0,77.0,80.0,198.0,7.69,27.33,,,,Indian
